id,idTraining,name,describe,start_date,deadline
1,16,Vivamus tortor.,Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.,2017-10-16 02:13:49,2018-02-22 08:22:04
2,14,Suspendisse potenti.,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,2017-06-19 16:05:56,2018-04-15 12:21:09
3,3,Praesent id massa id nisl venenatis lacinia.,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.,2017-07-29 22:52:22,2018-03-06 14:09:20
4,7,Praesent blandit lacinia erat.,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",2017-10-09 09:36:08,2017-09-24 04:03:00
5,15,Donec quis orci eget orci vehicula condimentum.,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",2018-01-18 15:36:37,2018-03-19 04:22:06
6,8,Suspendisse potenti.,Etiam faucibus cursus urna. Ut tellus.,2018-04-26 19:36:04,2017-07-22 09:07:40
7,10,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",In hac habitasse platea dictumst.,2017-07-04 06:34:51,2017-11-12 07:23:04
8,6,Nulla justo.,Nullam molestie nibh in lectus.,2018-03-12 07:12:16,2017-10-31 04:15:53
9,14,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,2018-05-28 03:09:46,2017-07-05 02:36:43
10,0,Morbi vel lectus in quam fringilla rhoncus.,Sed sagittis.,2017-10-27 13:22:55,2017-10-01 00:11:45
11,15,Phasellus sit amet erat.,Curabitur at ipsum ac tellus semper interdum.,2017-10-31 18:07:40,2018-04-09 15:38:32
12,10,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",Morbi non quam nec dui luctus rutrum. Nulla tellus.,2018-03-02 19:25:30,2017-08-01 21:21:44
13,2,Vivamus in felis eu sapien cursus vestibulum.,Donec semper sapien a libero.,2018-02-02 05:17:49,2017-07-14 22:33:38
14,8,Nulla facilisi.,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,2018-05-27 06:47:22,2018-05-10 19:24:18
15,6,Curabitur convallis.,Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.,2017-10-19 16:09:56,2017-10-05 06:17:55
16,20,In congue.,Nullam varius.,2018-01-04 19:16:19,2018-03-12 19:50:07
17,4,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",Pellentesque at nulla. Suspendisse potenti.,2017-08-26 05:21:10,2018-05-12 23:43:35
18,8,In blandit ultrices enim.,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.",2017-10-18 12:22:01,2018-01-27 21:18:16
19,4,Aliquam non mauris.,Nulla mollis molestie lorem.,2017-10-13 06:56:59,2018-05-21 13:05:10
20,1,Praesent blandit.,Maecenas rhoncus aliquam lacus.,2017-08-10 01:58:37,2017-07-25 10:25:48
